date,subject,action,object,topic,description,location,ref_title,ref_url
2018-09-02,第拾貳次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2018-10-05,g0v Summit 2018 開放了？然後咧！,,,summit,,中央研究院,,https://summit.g0v.tw/2018/
2018-10-06,g0v Summit 2018 開放了？然後咧！,,,summit,,中央研究院,,https://summit.g0v.tw/2018/
2018-11-07,"g0ver, Parti",討論,SGP (Stupid Government Partnership),國際交流,"pm5, Chihao, Yutin, Isabel參加OGP會議後，與韓國Parti 社群聚會，發現台韓政府都做了很多奇妙的計畫做了很多奇妙的計畫，比如河流裡放機器魚。",韓國首爾的咖啡店,,
2018-11-11,第拾參次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2018-11-11,沒有人,討論,g0v 社群的國際交流,國際交流,,,,https://g0v.hackmd.io/7zKnMuMiQ3iLVxbAg-4RKw
2018-12-28,第参拾貳次蜂蜜檸檬黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath32n
2019-01-01,揪松團,舉辦,2019 公民科技創新獎助金,公民科技創新獎助金,,,,https://grants.g0v.tw/
2019-03-09,第參拾參次不顧北京反對___黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath33n
2019-03-09,pm5,提案,g0v 國際交流小組,國際交流,https://www.youtube.com/watch?v=vXit-3sJoP4&list=PLdwQWxpS513B0GRQ4b5Yoo5etZgSZvs9f&index=15,g0v的hackath33n,,
2019-04-28,第零次電視松,,,小松,,,,
2019-05-25,第參拾肆次再開放空總黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath34n
2019-05-26,資料申請小幫手,提案,,開放資料,總統盃黑客松第一次工作坊,,,https://hackmd.io/@y56/r1O6G6vpN?type=view
2019-06-08,Facing the Ocean Okinawa 2019,,,國際交流,,日本沖繩的Startup Lab Lagoon in Okinawa City,,https://g0v.hackmd.io/@chihao/HJuTOqB74?type=view
2019-06-22,第壹次電視松 × 公視 hackatv1n × PTS,,,小松,,,,
2019-07-01,g0v.NEWS,成立,,國際交流,連結全球公民科技社群,,,https://g0v.news/
2019-07-20,資料申請小幫手,討論,,開放資料,g0v 獎助金 2019 年 期中報告,中央研究院,,https://www.youtube.com/watch?v=BDLv_udptiI
2019-07-25,第參拾伍次最旁邊黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath35n
2019-07-30,Disfactory農地違章工廠回報系統,提案,,環境保護,農地工廠回報系統第一次提案,g0v的hackath35n,,https://www.youtube.com/watch?v=OOKWIy86-Mk
2019-09-03,資料申請小幫手,得獎,,開放資料,獲選 2019年 總統盃黑客松Top 10,總統府,,https://presidential-hackathon.taiwan.gov.tw/2019/NewDraft0903.aspx
2019-09-07,第參拾陸次開放台北市議會黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath36n
2019-10-14,Cofacts 真的假的,得獎,,假訊息,獲選 NPOwer 公益行動家,,,https://npost.tw/archives/53031
2019-10-20,第拾肆次基礎建設松,,,基礎松,,,,https://g0v.hackpad.tw/g0v--9MbKWNVW1Is
2019-11-04,g0v 國際交流小組,參與,United Nations of Innovation - #HackingDemocracy,國際交流,"g0v 社群受德國 Friedrich-Naumann-Stiftung für die Freiheit（FNF 基金會）邀請至柏林參與 ""United Nations of Innovation - #HackingDemocracy"" conference. 同時與基金會內部對談g0v的發展運作、向基金會所屬在野黨的議員們分享台灣的公民參與運動。
參與者：pm5, tmonk, chihao, bess, choulin, g0v 國際交流小組",德國柏林的Cafe Moskau,,
2019-11-09,第二屆紐約 g0v 黑客松,,,美東松,,,,https://www.facebook.com/events/2264036587178364/
2019-11-10,第二屆紐約 g0v 黑客松,,,美東松,,,,
2019-11-16,g0v 社群忘年會,,,基礎建設,,,,https://g0v-jothon.kktix.cc/events/g0v-year-end-banquet-2019
2019-11-30,台南新手村,,,大松,,,,https://g0v-jothon.kktix.cc/events/g0villagetainan
2019-12-21,第參拾柒次全臺首學黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath37n
2020-01-18,第拾伍次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2020-02-02,坑抗 Keng of Conf - 坑主小聚,,,小松,,,,
2020-02-06,藥局口罩採購地圖,上線,,covid-19,,Covid-19,,"https://link.medium.com/1l8VVhD3Dkb
https://g0v.hackmd.io/@kiang/mask-info"
2020-03-20,第參拾捌次在家黑客松,,,大松,,,,https://g0v.hackmd.io/@jothon/g0v-hackath38n
2020-03-14,Disfactory農地違章工廠回報系統,上線,,環境保護,農地工廠回報系統上線,地球公民基金會的記者會,,https://www.cet-taiwan.org/info/news/3683
2020-04-05,第拾陸次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2020-05-16,2020 南庄桐花松,,,南庄桐花松,g0v 揪松團、數位農民組合、竹塹社區大學、臺灣社區協力農業協會一起舉辦,南埔共學空間,,https://g0v.hackmd.io/@jothon/tungflowerthon
2020-05-23,第參拾玖次又在家黑客松,,,大松,,,,https://g0v.hackmd.io/c/g0v-hackath39n
2020-07-25,第肆拾次集合啦！老地方黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath40n
2020-08-30,零時小學校 Demo Day,,,零時小學校,,,,
2020-10-24,第肆拾壹次八週年黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath41n
2020-11-01,第二十四次萌典松,,,萌典,,,,https://g0v.hackmd.io/@tmonk/HyWeQ9cww
2020-11-12,新版 g0v.tw,上線,,基礎建設,,,,
2020-12-03,g0v Summit 2020,,,summit,,台南,,https://summit.g0v.tw/2020/
2020-12-03,Facing the Ocean Tainan 2020,,,國際交流,,,,
2021-01-10,第拾柒次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2021-01-23,第肆拾貳次生命、宇宙以及萬事萬物的終極答案黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath42n
2021-02-04,Cofacts 真的假的,獲得,AI4SG 獎項,假訊息,,,,https://tw.systex.com/ai4sg-award-2021/
2021-03-20,第肆拾參次源力犇騰黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath43n
2021-05-01,2021 南庄桐花松,,,南庄桐花松,,,,
2021-05-22,第拾捌次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2021-06-02,台灣開放教育推動團隊,成立,,教育,,,,
2021-06-26,第肆拾肆次世界最危險黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath44n
2021-06-26,Disfactory 大家來找廠,提案,,環境保護,,g0v的hackath44n,,https://www.youtube.com/watch?v=bMn63Uju7uM
2021-07-17,零時小學校「夏日源理」線上源力增能營,開跑,,零時小學校,,,,
2021-08-21,第肆拾伍次原本在台中黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath45n
2021-10-22,Cofacts 真的假的,獲選,2021 未來大人物,假訊息,,,,https://2021event.becomingaces.com/2021aces
2021-10-23,第肆拾陸次九週年黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath46n
2021-10-24,藥局口罩採購地圖,停止更新,,covid-19,,Covid-19,,https://link.medium.com/myx6nQPrCkb
2021-11-20,零時小學校 × LASS 新竹小松,,,零時小學校,,,,
2021-12-11,第肆拾柒次板橋油庫口黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath47n
2022-02-19,第肆拾捌次虎來俱進黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath48n
2022-03-02,第拾玖次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2022-03-09,零時電台 g0v Podcast,發布,EP0,g0v podcast,,,共筆,https://g0v.hackmd.io/@podcast/main
2022-03-12,第拾玖次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2022-04-09,第肆拾玖次全糖去冰黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath49n
2022-05-01,2022 南庄桐花松,,,南庄桐花松,,,,
2022-06-18,第伍拾次來電五十黑客松,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath50n
2022-07-09,第貳拾次基礎建設松,,,基礎松,,,,https://beta.hackfoldr.org/g0v-infras/
2022-08-20,第伍拾壹次大肚山海豚黑客松 x 水保局,,,大松,,,,https://beta.hackfoldr.org/g0v-hackath51n
